className	displayName	armaCategory	armaType	mass	count	maxLoad	mod	addons
CBRN_HeliPilotCoveralls	CBRN Heli Pilot Coveralls	Equipment	Uniform	60	-1	120	@Chemical Warfare PLUS	CBRN_Contact
CBRN_Expansion_Gendarmerie	CBRN MOPP Suit (Gendarmerie)	Equipment	Uniform	8	-1	120	@Chemical Warfare PLUS	CBRN_Contact
CBRN_Expansion_Yellow	CBRN MOPP Suit (Yellow)	Equipment	Uniform	8	-1	120	@Chemical Warfare PLUS	CBRN_Contact
CBRN_Expansion_Olive	CBRN MOPP Suit (Olive)	Equipment	Uniform	8	-1	120	@Chemical Warfare PLUS	CBRN_Contact
CBRN_Expansion_NoDecals_yellow	CBRN MOPP Suit (No Decals, Bright Yellow)	Equipment	Uniform	8	-1	120	@Chemical Warfare PLUS	CBRN_Contact
CBRN_Expansion_NoDecals_Cyan	CBRN MOPP Suit (No Decals, Bright Cyan)	Equipment	Uniform	8	-1	120	@Chemical Warfare PLUS	CBRN_Contact
CBRN_Expansion_NoDecals_BlueGreenish	CBRN MOPP Suit (No Decals, Blue/Green v2)	Equipment	Uniform	8	-1	120	@Chemical Warfare PLUS	CBRN_Contact
CBRN_Expansion_NoDecals_Orange	CBRN MOPP Suit (No Decals, Bright Orange)	Equipment	Uniform	8	-1	120	@Chemical Warfare PLUS	CBRN_Contact
CBRN_Expansion_M81	CBRN MOPP Suit (M81)	Equipment	Uniform	8	-1	120	@Chemical Warfare PLUS	CBRN_Contact
CBRN_Expansion_TCD	CBRN MOPP Suit (Tri-Color Desert)	Equipment	Uniform	8	-1	120	@Chemical Warfare PLUS	CBRN_Contact
plp_bo_w_AfterSun	After Sun Lotion	Item	MineDetector	7	-1	-1	@PLP All in One	plp_beachobjects
plp_bo_w_BeachBat	Beach Bat	Item	MineDetector	12	-1	-1	@PLP All in One	plp_beachobjects
plp_bo_w_BocceBalls	Bocce Balls	Item	MineDetector	20	-1	-1	@PLP All in One	plp_beachobjects
plp_bo_w_BottleBitters	Bottle of Bitters	Item	MineDetector	10	-1	-1	@PLP All in One	plp_beachobjects
plp_bo_w_BottleBlueCorazol	Bottle of Blue Corazol	Item	MineDetector	10	-1	-1	@PLP All in One	plp_beachobjects
plp_bo_w_BottleGin	Bottle of Gin	Item	MineDetector	10	-1	-1	@PLP All in One	plp_beachobjects
plp_bo_w_BottleLiqCream	Bottle of Cream Liqueur	Item	MineDetector	10	-1	-1	@PLP All in One	plp_beachobjects
plp_bo_w_BottleLiqOrange	Bottle of Orange Liqueur	Item	MineDetector	10	-1	-1	@PLP All in One	plp_beachobjects
plp_bo_w_BottleTequila	Bottle of Tequila	Item	MineDetector	10	-1	-1	@PLP All in One	plp_beachobjects
plp_bo_w_Cigar	Cigar	Item	MineDetector	3	-1	-1	@PLP All in One	plp_beachobjects
plp_bo_w_CigarFine	Fine Cigar	Item	MineDetector	3	-1	-1	@PLP All in One	plp_beachobjects
plp_bo_w_CigarBoxSealed	Sealed Cigar Box	Item	MineDetector	8	-1	-1	@PLP All in One	plp_beachobjects
plp_bo_w_CigarCutter	Cigar Cutter	Item	MineDetector	3	-1	-1	@PLP All in One	plp_beachobjects
plp_bo_w_GlassAperitif	Glass (Aperitif)	Item	MineDetector	5	-1	-1	@PLP All in One	plp_beachobjects
plp_bo_w_GlassCocktail	Glass (Cocktail)	Item	MineDetector	5	-1	-1	@PLP All in One	plp_beachobjects
plp_bo_w_GlassDrink	Glass (Drink)	Item	MineDetector	5	-1	-1	@PLP All in One	plp_beachobjects
plp_bo_w_Lifebelt	Lifebelt	Item	MineDetector	50	-1	-1	@PLP All in One	plp_beachobjects
plp_bo_w_LifeguardFloat	Lifeguard Float	Item	MineDetector	50	-1	-1	@PLP All in One	plp_beachobjects
plp_bo_w_SunBlocker	Sun Blocker	Item	MineDetector	7	-1	-1	@PLP All in One	plp_beachobjects
plp_bo_w_SunMilk	Sun Milk	Item	MineDetector	7	-1	-1	@PLP All in One	plp_beachobjects
NVGoggles	NV Goggles (Gen3, Brown)	Item	NVGoggles	20	-1	-1	@ace	A3_Weapons_F;ace_nightvision
UK3CB_Gloves_black_NVG	Gloves (Black)	Item	NVGoggles	1	-1	-1	@3CB Factions	UK3CB_Factions_Facegear
UK3CB_Gloves_green_NVG	Gloves (Green)	Item	NVGoggles	1	-1	-1	@3CB Factions	UK3CB_Factions_Facegear
UK3CB_Gloves_tan_NVG	Gloves (Tan)	Item	NVGoggles	1	-1	-1	@3CB Factions	UK3CB_Factions_Facegear
UK3CB_Tactical_Gloves_black_NVG	Tactical Gloves (Black)	Item	NVGoggles	1	-1	-1	@3CB Factions	UK3CB_Factions_Facegear
UK3CB_Tactical_Gloves_green_NVG	Tactical Gloves (Green)	Item	NVGoggles	1	-1	-1	@3CB Factions	UK3CB_Factions_Facegear
UK3CB_Tactical_Gloves_tan_NVG	Tactical Gloves (Tan)	Item	NVGoggles	1	-1	-1	@3CB Factions	UK3CB_Factions_Facegear
